
INFO 	2016-04-06 18:30:05 	[preliminary_checks] 	fc3e8b36a_6e79a3b7d found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 19:07:00 	[trim_reads_trimmomatic] 	reads after trimming = 87714778
INFO 	2016-04-06 19:07:22 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 19:07:22 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 19:07:22 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 19:07:22 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2084

INFO 	2016-04-06 19:07:28 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 19:07:28 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 19:07:28 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 19:07:28 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 19:07:28 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 19:07:28 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 22:21:33 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/logs/mm10/fc3e8b36a_6e79a3b7d_align_and_merge_paired_end.log
TIME 	2016-04-06 22:22:09 	[align_and_merge] 	step time for completion (seconds) = 11685

INFO 	2016-04-06 22:22:14 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 22:38:18 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.76797992922
INFO 	2016-04-06 22:38:18 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.755173204679
INFO 	2016-04-06 22:38:18 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 48743059
INFO 	2016-04-06 22:38:18 	[post_mapping_statistics] 	counts-to-distance slope = -1.25821828423
TIME 	2016-04-06 22:38:25 	[post_mapping_statistics] 	step time for completion (seconds) = 971

INFO 	2016-04-06 22:38:34 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 22:38:34 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/results/mm10/filtered_reads
INFO 	2016-04-06 22:38:34 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 22:38:34 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 22:38:34 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 22:45:45 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 22:46:32 	[reads_filtering] 	step time for completion (seconds) = 486

INFO 	2016-04-06 22:46:34 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 22:46:34 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 22:46:34 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 22:46:34 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 22:57:18 	[post_filtering_statistics] 	step time for completion (seconds) = 644

INFO 	2016-04-06 22:57:28 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 23:14:04 	[index_contacts] 	step time for completion (seconds) = 996

INFO 	2016-04-06 23:14:06 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 29 files...
TIME 	2016-04-06 23:47:43 	[map_to_bam] 	step time for completion (seconds) = 2017

INFO 	2016-04-06 23:47:45 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0314/job_scripts/2165431: line 747: 22772 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 07:32:35 	[downstream_bam] 	step time for completion (seconds) = 27890

INFO 	2016-04-07 07:32:36 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 07:32:36 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/fastqs_processed
INFO 	2016-04-07 07:32:36 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/fc3e8b36a_6e79a3b7d/mapped_reads
TIME 	2016-04-07 07:32:41 	[clean_up] 	step time for completion (seconds) = 5


