
INFO 	2016-04-06 05:42:52 	[preliminary_checks] 	a7a9044d5_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 15:12:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 15:56:16 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.894967345226
INFO 	2016-04-06 15:56:16 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.852130431695
INFO 	2016-04-06 15:56:16 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 145938976
INFO 	2016-04-06 15:56:16 	[post_mapping_statistics] 	counts-to-distance slope = -1.28056405975
TIME 	2016-04-06 15:56:24 	[post_mapping_statistics] 	step time for completion (seconds) = 2640

INFO 	2016-04-06 15:56:47 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 15:56:47 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 15:56:47 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 15:56:47 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 15:56:47 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 16:19:27 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 16:21:08 	[reads_filtering] 	step time for completion (seconds) = 1483

INFO 	2016-04-06 16:21:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 16:21:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 16:21:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 16:21:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 16:44:21 	[post_filtering_statistics] 	step time for completion (seconds) = 1390

INFO 	2016-04-06 16:44:25 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 17:24:23 	[index_contacts] 	step time for completion (seconds) = 2398

INFO 	2016-04-06 17:24:27 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 83 files...
TIME 	2016-04-06 19:11:11 	[map_to_bam] 	step time for completion (seconds) = 6404

INFO 	2016-04-06 19:11:14 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 06:19:30 	[downstream_bam] 	step time for completion (seconds) = 40096

INFO 	2016-04-07 06:19:31 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 06:19:31 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/fastqs_processed
INFO 	2016-04-07 06:19:31 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7a9044d5_95a8cd511/mapped_reads
TIME 	2016-04-07 06:19:32 	[clean_up] 	step time for completion (seconds) = 1


