
INFO 	2016-04-08 16:23:48 	[preliminary_checks] 	a7c643d27_0aa35af8e found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 19:44:33 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 19:44:33 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 19:44:33 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 19:53:01 	[post_filtering_statistics] 	step time for completion (seconds) = 508

INFO 	2016-04-08 19:53:04 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:07:15 	[index_contacts] 	step time for completion (seconds) = 851

INFO 	2016-04-08 20:07:18 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 22 files...
TIME 	2016-04-08 20:37:05 	[map_to_bam] 	step time for completion (seconds) = 1787

INFO 	2016-04-08 20:37:08 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0202/job_scripts/2168748: line 747: 32007 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 05:13:48 	[downstream_bam] 	step time for completion (seconds) = 31000

INFO 	2016-04-09 05:13:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 05:13:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/fastqs_processed
INFO 	2016-04-09 05:13:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_0aa35af8e/mapped_reads
TIME 	2016-04-09 05:13:54 	[clean_up] 	step time for completion (seconds) = 5


