
INFO 	2016-04-06 06:52:11 	[preliminary_checks] 	e6588f786_56e7062b9 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 07:23:44 	[trim_reads_trimmomatic] 	reads after trimming = 71842905
INFO 	2016-04-06 07:24:09 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 07:24:09 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 07:24:09 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 07:24:09 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1725

INFO 	2016-04-06 07:24:18 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 07:24:18 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 07:24:18 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 07:24:18 	[align_and_merge] 	read length = 76
INFO 	2016-04-06 07:24:18 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 07:24:18 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 09:57:22 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/logs/mm10/e6588f786_56e7062b9_align_and_merge_paired_end.log
TIME 	2016-04-06 09:57:47 	[align_and_merge] 	step time for completion (seconds) = 9215

INFO 	2016-04-06 09:57:55 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 10:10:39 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.655067998712
INFO 	2016-04-06 10:10:39 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.661982989134
INFO 	2016-04-06 10:10:39 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 36546554
INFO 	2016-04-06 10:10:39 	[post_mapping_statistics] 	counts-to-distance slope = -0.966783095308
TIME 	2016-04-06 10:11:02 	[post_mapping_statistics] 	step time for completion (seconds) = 787

INFO 	2016-04-06 10:11:09 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 10:11:09 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/filtered_reads
INFO 	2016-04-06 10:11:09 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 10:11:09 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 10:11:09 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 10:17:46 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 10:18:07 	[reads_filtering] 	step time for completion (seconds) = 423

INFO 	2016-04-06 10:18:10 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 10:18:10 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 10:18:10 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 10:18:10 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 10:25:03 	[post_filtering_statistics] 	step time for completion (seconds) = 414

INFO 	2016-04-06 10:25:19 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 10:34:24 	[index_contacts] 	step time for completion (seconds) = 545

INFO 	2016-04-06 10:34:33 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 19 files...
TIME 	2016-04-06 10:59:09 	[map_to_bam] 	step time for completion (seconds) = 1476

INFO 	2016-04-06 10:59:22 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 12:21:52 	[downstream_bam] 	step time for completion (seconds) = 4950

INFO 	2016-04-06 12:21:53 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 12:21:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/fastqs_processed
INFO 	2016-04-06 12:21:53 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e6588f786_56e7062b9/mapped_reads
TIME 	2016-04-06 12:22:00 	[clean_up] 	step time for completion (seconds) = 7


