
INFO 	2016-04-08 09:56:39 	[preliminary_checks] 	b7fa2d8db_7284b867a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 04:23:53 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 04:57:18 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 05:00:54 	[reads_filtering] 	step time for completion (seconds) = 2258

INFO 	2016-04-09 05:00:57 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 05:00:57 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 05:00:57 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 05:00:57 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 05:44:05 	[post_filtering_statistics] 	step time for completion (seconds) = 2588

INFO 	2016-04-09 05:44:07 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 07:05:50 	[index_contacts] 	step time for completion (seconds) = 4903

INFO 	2016-04-09 07:06:16 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 134 files...
TIME 	2016-04-09 10:01:51 	[map_to_bam] 	step time for completion (seconds) = 10535

INFO 	2016-04-09 10:02:09 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0301/job_scripts/2168199: line 747:  4064 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 21:03:45 	[downstream_bam] 	step time for completion (seconds) = 39696

INFO 	2016-04-09 21:03:47 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:03:47 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/fastqs_processed
INFO 	2016-04-09 21:03:47 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_7284b867a/mapped_reads
TIME 	2016-04-09 21:03:47 	[clean_up] 	step time for completion (seconds) = 0


