
INFO 	2016-04-14 10:37:37 	[preliminary_checks] 	b742f3789_9b235de67 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 14:19:16 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 14:29:33 	[post_filtering_statistics] 	step time for completion (seconds) = 617

INFO 	2016-04-14 14:29:35 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_9b235de67/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 14:45:28 	[index_contacts] 	step time for completion (seconds) = 953

INFO 	2016-04-14 14:45:30 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 27 files...
TIME 	2016-04-14 15:21:11 	[map_to_bam] 	step time for completion (seconds) = 2141

INFO 	2016-04-14 15:21:13 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0406/job_scripts/2269732: line 747: 54849 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 23:23:16 	[downstream_bam] 	step time for completion (seconds) = 28924

INFO 	2016-04-14 23:23:17 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 23:23:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_9b235de67/fastqs_processed
INFO 	2016-04-14 23:23:17 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_9b235de67/mapped_reads
TIME 	2016-04-14 23:23:23 	[clean_up] 	step time for completion (seconds) = 6


