
INFO 	2016-04-06 11:53:48 	[preliminary_checks] 	9a7c4a68d_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-07 00:57:00 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 73 files...
TIME 	2016-04-07 03:26:44 	[map_to_bam] 	step time for completion (seconds) = 8984

INFO 	2016-04-07 03:26:55 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 15:57:33 	[downstream_bam] 	step time for completion (seconds) = 45038

INFO 	2016-04-07 15:57:35 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 15:57:35 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/fastqs_processed
INFO 	2016-04-07 15:57:35 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/9a7c4a68d_7bf1478ce/mapped_reads
TIME 	2016-04-07 15:57:36 	[clean_up] 	step time for completion (seconds) = 1


