
INFO 	2016-04-06 17:32:32 	[preliminary_checks] 	b7fa2d8db_ddbe15068 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 18:26:54 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-06 18:26:54 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-06 18:26:54 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 18:26:54 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2989

INFO 	2016-04-06 18:27:00 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-06 18:27:00 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-06 18:27:01 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 18:27:01 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 18:27:01 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-06 18:27:01 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 23:29:38 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/logs/mm10/b7fa2d8db_ddbe15068_align_and_merge_paired_end.log
TIME 	2016-04-06 23:30:25 	[align_and_merge] 	step time for completion (seconds) = 18209

INFO 	2016-04-06 23:30:38 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 23:46:56 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.626967793609
INFO 	2016-04-06 23:46:56 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.617356201402
INFO 	2016-04-06 23:46:56 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 53961093
INFO 	2016-04-06 23:46:56 	[post_mapping_statistics] 	counts-to-distance slope = -1.16645280787
TIME 	2016-04-06 23:47:02 	[post_mapping_statistics] 	step time for completion (seconds) = 984

INFO 	2016-04-06 23:47:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 23:47:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/results/mm10/filtered_reads
INFO 	2016-04-06 23:47:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-06 23:47:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/results/mm10/excluded_reads/self_circle
INFO 	2016-04-06 23:47:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 23:55:41 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 23:56:05 	[reads_filtering] 	step time for completion (seconds) = 542

INFO 	2016-04-06 23:56:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/plots/mm10/post_filtering_statistics:
INFO 	2016-04-06 23:56:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 23:56:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 23:56:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 00:03:45 	[post_filtering_statistics] 	step time for completion (seconds) = 458

INFO 	2016-04-07 00:03:47 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 00:14:51 	[index_contacts] 	step time for completion (seconds) = 664

INFO 	2016-04-07 00:14:53 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 30 files...
TIME 	2016-04-07 00:53:32 	[map_to_bam] 	step time for completion (seconds) = 2319

INFO 	2016-04-07 00:53:41 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0103/job_scripts/2165426: line 747: 55522 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-07 08:37:14 	[downstream_bam] 	step time for completion (seconds) = 27813

INFO 	2016-04-07 08:37:16 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 08:37:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/fastqs_processed
INFO 	2016-04-07 08:37:16 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_ddbe15068/mapped_reads
TIME 	2016-04-07 08:37:21 	[clean_up] 	step time for completion (seconds) = 5


