
INFO 	2016-04-06 09:42:32 	[preliminary_checks] 	858b56753_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 22:38:48 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 23:31:15 	[index_contacts] 	step time for completion (seconds) = 3147

INFO 	2016-04-06 23:31:17 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 98 files...
TIME 	2016-04-07 01:37:11 	[map_to_bam] 	step time for completion (seconds) = 7554

INFO 	2016-04-07 01:37:22 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 21:07:02 	[downstream_bam] 	step time for completion (seconds) = 70180

INFO 	2016-04-07 21:07:03 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 21:07:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/fastqs_processed
INFO 	2016-04-07 21:07:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/858b56753_7bf1478ce/mapped_reads
TIME 	2016-04-07 21:07:04 	[clean_up] 	step time for completion (seconds) = 1


