
INFO 	2016-04-14 07:15:57 	[preliminary_checks] 	b7fa2d8db_37c834894 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 10:57:11 	[post_mapping_statistics] 	counts-to-distance slope = -1.17294891656
TIME 	2016-04-14 10:57:27 	[post_mapping_statistics] 	step time for completion (seconds) = 898

INFO 	2016-04-14 10:57:35 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 10:57:35 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/results/mm10/filtered_reads
INFO 	2016-04-14 10:57:35 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 10:57:35 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 10:57:35 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 11:04:58 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 11:05:59 	[reads_filtering] 	step time for completion (seconds) = 511

INFO 	2016-04-14 11:06:03 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 11:06:03 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 11:06:03 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 11:06:03 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 11:16:12 	[post_filtering_statistics] 	step time for completion (seconds) = 609

INFO 	2016-04-14 11:16:14 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 11:35:41 	[index_contacts] 	step time for completion (seconds) = 1167

INFO 	2016-04-14 11:35:43 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 27 files...
TIME 	2016-04-14 12:10:30 	[map_to_bam] 	step time for completion (seconds) = 2087

INFO 	2016-04-14 12:10:32 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0415/job_scripts/2269728: line 747:  8901 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 20:36:28 	[downstream_bam] 	step time for completion (seconds) = 30356

INFO 	2016-04-14 20:36:30 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 20:36:30 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/fastqs_processed
INFO 	2016-04-14 20:36:30 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_37c834894/mapped_reads
TIME 	2016-04-14 20:36:35 	[clean_up] 	step time for completion (seconds) = 5


