
INFO 	2016-04-08 16:23:38 	[preliminary_checks] 	b742f3789_181aff666 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 16:47:08 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 16:47:08 	[trim_reads_trimmomatic] 	reads after trimming = 59471385
INFO 	2016-04-08 16:48:12 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 16:48:12 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 16:48:12 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 16:48:12 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1309

INFO 	2016-04-08 16:48:24 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 16:48:24 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 16:48:24 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 16:48:24 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 16:48:24 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 16:48:24 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-08 20:20:11 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/logs/mm10/b742f3789_181aff666_align_and_merge_paired_end.log
TIME 	2016-04-08 20:21:32 	[align_and_merge] 	step time for completion (seconds) = 12794

INFO 	2016-04-08 20:22:06 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-08 20:35:17 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.835661183946
INFO 	2016-04-08 20:35:17 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.812549211692
INFO 	2016-04-08 20:35:17 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 38750093
INFO 	2016-04-08 20:35:17 	[post_mapping_statistics] 	counts-to-distance slope = -1.13822173944
TIME 	2016-04-08 20:35:27 	[post_mapping_statistics] 	step time for completion (seconds) = 801

INFO 	2016-04-08 20:35:35 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 20:35:35 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/filtered_reads
INFO 	2016-04-08 20:35:35 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 20:35:35 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 20:35:35 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 20:42:11 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 20:43:15 	[reads_filtering] 	step time for completion (seconds) = 466

INFO 	2016-04-08 20:43:17 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 20:43:17 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 20:43:17 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 20:43:17 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 20:51:38 	[post_filtering_statistics] 	step time for completion (seconds) = 501

INFO 	2016-04-08 20:51:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 21:07:24 	[index_contacts] 	step time for completion (seconds) = 929

INFO 	2016-04-08 21:07:29 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 22 files...
TIME 	2016-04-08 21:38:17 	[map_to_bam] 	step time for completion (seconds) = 1848

INFO 	2016-04-08 21:38:40 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0314/job_scripts/2168745: line 747: 41680 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 05:53:08 	[downstream_bam] 	step time for completion (seconds) = 29669

INFO 	2016-04-09 05:53:11 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 05:53:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/fastqs_processed
INFO 	2016-04-09 05:53:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_181aff666/mapped_reads
TIME 	2016-04-09 05:53:16 	[clean_up] 	step time for completion (seconds) = 5


