
INFO 	2016-04-08 16:25:33 	[preliminary_checks] 	b742f3789_85070db90 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 19:46:57 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 43047052
INFO 	2016-04-08 19:46:57 	[post_mapping_statistics] 	counts-to-distance slope = -1.13931658546
TIME 	2016-04-08 19:47:06 	[post_mapping_statistics] 	step time for completion (seconds) = 847

INFO 	2016-04-08 19:47:15 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-08 19:47:15 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/results/mm10/filtered_reads
INFO 	2016-04-08 19:47:15 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-08 19:47:15 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/results/mm10/excluded_reads/self_circle
INFO 	2016-04-08 19:47:15 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-08 19:54:07 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-08 19:54:59 	[reads_filtering] 	step time for completion (seconds) = 471

INFO 	2016-04-08 19:55:01 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/plots/mm10/post_filtering_statistics:
INFO 	2016-04-08 19:55:01 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-08 19:55:01 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-08 19:55:01 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-08 20:04:20 	[post_filtering_statistics] 	step time for completion (seconds) = 559

INFO 	2016-04-08 20:04:35 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-08 20:20:07 	[index_contacts] 	step time for completion (seconds) = 932

INFO 	2016-04-08 20:20:11 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 25 files...
TIME 	2016-04-08 20:53:33 	[map_to_bam] 	step time for completion (seconds) = 2002

INFO 	2016-04-08 20:53:54 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-08 22:17:09 	[downstream_bam] 	step time for completion (seconds) = 4995

INFO 	2016-04-08 22:17:11 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-08 22:17:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/fastqs_processed
INFO 	2016-04-08 22:17:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_85070db90/mapped_reads
TIME 	2016-04-08 22:17:16 	[clean_up] 	step time for completion (seconds) = 5


