
INFO 	2016-04-05 19:48:38 	[preliminary_checks] 	66950b082_df6973bc7 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:16:50 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 22:16:50 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 22:16:50 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 22:23:05 	[post_filtering_statistics] 	step time for completion (seconds) = 375

INFO 	2016-04-05 22:23:08 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 22:30:29 	[index_contacts] 	step time for completion (seconds) = 441

INFO 	2016-04-05 22:30:33 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 18 files...
TIME 	2016-04-05 22:50:52 	[map_to_bam] 	step time for completion (seconds) = 1219

INFO 	2016-04-05 22:51:04 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0505/job_scripts/2164824: line 747: 57355 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-06 04:37:49 	[downstream_bam] 	step time for completion (seconds) = 20805

INFO 	2016-04-06 04:37:51 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 04:37:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/fastqs_processed
INFO 	2016-04-06 04:37:51 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/66950b082_df6973bc7/mapped_reads
TIME 	2016-04-06 04:37:57 	[clean_up] 	step time for completion (seconds) = 6


