
INFO 	2016-04-14 11:06:42 	[preliminary_checks] 	b742f3789_c02e98c58 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 14:52:29 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 14:52:29 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 14:52:29 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 15:00:30 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 15:01:01 	[reads_filtering] 	step time for completion (seconds) = 520

INFO 	2016-04-14 15:01:03 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 15:01:03 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 15:01:03 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 15:01:03 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 15:11:32 	[post_filtering_statistics] 	step time for completion (seconds) = 629

INFO 	2016-04-14 15:11:34 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 15:28:27 	[index_contacts] 	step time for completion (seconds) = 1013

INFO 	2016-04-14 15:28:29 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 30 files...
TIME 	2016-04-14 16:06:56 	[map_to_bam] 	step time for completion (seconds) = 2307

INFO 	2016-04-14 16:07:09 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0210/job_scripts/2269733: line 747: 46631 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-15 00:28:47 	[downstream_bam] 	step time for completion (seconds) = 30098

INFO 	2016-04-15 00:28:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-15 00:28:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/fastqs_processed
INFO 	2016-04-15 00:28:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c02e98c58/mapped_reads
TIME 	2016-04-15 00:28:53 	[clean_up] 	step time for completion (seconds) = 4


