
INFO 	2016-04-14 11:06:25 	[preliminary_checks] 	01acaf84f_ac9f54f0a found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 11:14:36 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-14 11:14:36 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-14 11:55:22 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/logs/hg38_mmtv/01acaf84f_ac9f54f0a_align_and_merge_paired_end.log
TIME 	2016-04-14 11:55:29 	[align_and_merge] 	step time for completion (seconds) = 2457

INFO 	2016-04-14 11:55:31 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 12:00:47 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.801068435967
INFO 	2016-04-14 12:00:47 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.664924165813
INFO 	2016-04-14 12:00:47 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 11694343
INFO 	2016-04-14 12:00:47 	[post_mapping_statistics] 	counts-to-distance slope = -0.830611462054
TIME 	2016-04-14 12:00:54 	[post_mapping_statistics] 	step time for completion (seconds) = 323

INFO 	2016-04-14 12:00:57 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 12:00:57 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 12:00:57 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 12:00:57 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 12:00:57 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:03:20 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:03:23 	[reads_filtering] 	step time for completion (seconds) = 147

INFO 	2016-04-14 12:03:25 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 12:03:25 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:03:25 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:03:25 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 12:05:57 	[post_filtering_statistics] 	step time for completion (seconds) = 152

INFO 	2016-04-14 12:05:59 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 12:07:27 	[index_contacts] 	step time for completion (seconds) = 88

INFO 	2016-04-14 12:07:29 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 6 files...
TIME 	2016-04-14 12:15:09 	[map_to_bam] 	step time for completion (seconds) = 459

INFO 	2016-04-14 12:15:11 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 13:00:43 	[downstream_bam] 	step time for completion (seconds) = 2732

INFO 	2016-04-14 13:00:45 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 13:00:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/fastqs_processed
INFO 	2016-04-14 13:00:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/01acaf84f_ac9f54f0a/mapped_reads
TIME 	2016-04-14 13:00:48 	[clean_up] 	step time for completion (seconds) = 3


