
INFO 	2016-04-08 09:56:37 	[preliminary_checks] 	b742f3789_c1e70a5fd found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 04:43:41 	[post_mapping_statistics] 	counts-to-distance slope = -0.91208650971
TIME 	2016-04-09 04:43:49 	[post_mapping_statistics] 	step time for completion (seconds) = 3666

INFO 	2016-04-09 04:44:25 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 04:44:25 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/results/mm10/filtered_reads
INFO 	2016-04-09 04:44:25 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 04:44:25 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 04:44:25 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 05:15:36 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 05:19:16 	[reads_filtering] 	step time for completion (seconds) = 2124

INFO 	2016-04-09 05:19:18 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 05:19:18 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 05:19:18 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 05:19:18 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 05:58:09 	[post_filtering_statistics] 	step time for completion (seconds) = 2331

INFO 	2016-04-09 05:58:12 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 07:12:21 	[index_contacts] 	step time for completion (seconds) = 4449

INFO 	2016-04-09 07:12:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 122 files...
TIME 	2016-04-09 09:50:37 	[map_to_bam] 	step time for completion (seconds) = 9469

INFO 	2016-04-09 09:50:47 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0412/job_scripts/2168201: line 747: 37211 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 20:01:49 	[downstream_bam] 	step time for completion (seconds) = 36662

INFO 	2016-04-09 20:01:50 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 20:01:50 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/fastqs_processed
INFO 	2016-04-09 20:01:50 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_c1e70a5fd/mapped_reads
TIME 	2016-04-09 20:01:51 	[clean_up] 	step time for completion (seconds) = 1


