
INFO 	2016-04-05 15:15:07 	[preliminary_checks] 	b1913e6c1_51720e9cf found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 22:00:54 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 22:00:54 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 22:14:01 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 22:15:17 	[reads_filtering] 	step time for completion (seconds) = 875

INFO 	2016-04-05 22:15:19 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 22:15:19 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 22:15:19 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 22:15:19 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 22:31:54 	[post_filtering_statistics] 	step time for completion (seconds) = 995

INFO 	2016-04-05 22:31:56 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 23:01:21 	[index_contacts] 	step time for completion (seconds) = 1765

INFO 	2016-04-05 23:01:24 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 49 files...
TIME 	2016-04-06 00:05:27 	[map_to_bam] 	step time for completion (seconds) = 3843

INFO 	2016-04-06 00:05:30 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 10:53:22 	[downstream_bam] 	step time for completion (seconds) = 38872

INFO 	2016-04-06 10:53:24 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 10:53:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/fastqs_processed
INFO 	2016-04-06 10:53:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b1913e6c1_51720e9cf/mapped_reads
TIME 	2016-04-06 10:53:24 	[clean_up] 	step time for completion (seconds) = 0


