
INFO 	2016-04-06 13:31:53 	[preliminary_checks] 	7824bad60_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-07 01:51:34 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.891867497695
INFO 	2016-04-07 01:51:34 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.863490658355
INFO 	2016-04-07 01:51:34 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 178840454
INFO 	2016-04-07 01:51:34 	[post_mapping_statistics] 	counts-to-distance slope = -1.27882620216
TIME 	2016-04-07 01:51:44 	[post_mapping_statistics] 	step time for completion (seconds) = 3072

INFO 	2016-04-07 01:52:13 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-07 01:52:13 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-04-07 01:52:13 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-07 01:52:13 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-07 01:52:13 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-07 02:18:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-07 02:20:55 	[reads_filtering] 	step time for completion (seconds) = 1749

INFO 	2016-04-07 02:20:57 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-07 02:20:57 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-07 02:20:57 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-07 02:20:57 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 02:52:07 	[post_filtering_statistics] 	step time for completion (seconds) = 1870

INFO 	2016-04-07 02:52:09 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 03:47:00 	[index_contacts] 	step time for completion (seconds) = 3291

INFO 	2016-04-07 03:47:15 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 101 files...
TIME 	2016-04-07 05:57:07 	[map_to_bam] 	step time for completion (seconds) = 7792

INFO 	2016-04-07 05:57:19 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 17:38:53 	[downstream_bam] 	step time for completion (seconds) = 42094

INFO 	2016-04-07 17:38:55 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 17:38:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/fastqs_processed
INFO 	2016-04-07 17:38:55 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/7824bad60_7bf1478ce/mapped_reads
TIME 	2016-04-07 17:38:55 	[clean_up] 	step time for completion (seconds) = 0


