
INFO 	2016-04-13 10:04:28 	[preliminary_checks] 	dc3a1e069_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 10:18:19 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-13 10:18:19 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-13 11:25:54 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/logs/hg38_mmtv/dc3a1e069_92b2943b1_align_and_merge_paired_end.log
TIME 	2016-04-13 11:26:14 	[align_and_merge] 	step time for completion (seconds) = 4080

INFO 	2016-04-13 11:26:28 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-13 11:32:10 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.756737257951
INFO 	2016-04-13 11:32:10 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.636895802181
INFO 	2016-04-13 11:32:10 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 14929390
INFO 	2016-04-13 11:32:11 	[post_mapping_statistics] 	counts-to-distance slope = -1.25610537494
TIME 	2016-04-13 11:32:20 	[post_mapping_statistics] 	step time for completion (seconds) = 352

INFO 	2016-04-13 11:32:24 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 11:32:24 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/results/hg38_mmtv/filtered_reads
INFO 	2016-04-13 11:32:24 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-13 11:32:24 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-13 11:32:24 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 11:34:58 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 11:35:09 	[reads_filtering] 	step time for completion (seconds) = 168

INFO 	2016-04-13 11:35:10 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-13 11:35:10 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 11:35:10 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 11:35:10 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 11:39:24 	[post_filtering_statistics] 	step time for completion (seconds) = 254

INFO 	2016-04-13 11:39:26 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 11:44:24 	[index_contacts] 	step time for completion (seconds) = 298

INFO 	2016-04-13 11:44:27 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 8 files...
TIME 	2016-04-13 11:55:29 	[map_to_bam] 	step time for completion (seconds) = 662

INFO 	2016-04-13 11:55:31 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0104/job_scripts/2269580: line 747: 33181 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-13 16:49:43 	[downstream_bam] 	step time for completion (seconds) = 17652

INFO 	2016-04-13 16:49:45 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-13 16:49:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/fastqs_processed
INFO 	2016-04-13 16:49:45 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_92b2943b1/mapped_reads
TIME 	2016-04-13 16:49:49 	[clean_up] 	step time for completion (seconds) = 4


