
INFO 	2016-04-06 04:56:59 	[preliminary_checks] 	d7fd92b4c_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:26:11 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 15:19:45 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/logs/hg38_mmtv/d7fd92b4c_95a8cd511_align_and_merge_paired_end.log
TIME 	2016-04-06 15:22:12 	[align_and_merge] 	step time for completion (seconds) = 32165

INFO 	2016-04-06 15:22:15 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 16:10:39 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.887703578286
INFO 	2016-04-06 16:10:39 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.833281934576
INFO 	2016-04-06 16:10:39 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 160036427
INFO 	2016-04-06 16:10:39 	[post_mapping_statistics] 	counts-to-distance slope = -1.27555844496
TIME 	2016-04-06 16:10:46 	[post_mapping_statistics] 	step time for completion (seconds) = 2911

INFO 	2016-04-06 16:11:10 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 16:11:10 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 16:11:10 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 16:11:10 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 16:11:10 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 16:36:56 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 16:38:30 	[reads_filtering] 	step time for completion (seconds) = 1663

INFO 	2016-04-06 16:38:32 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 16:38:32 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 16:38:32 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 16:38:32 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 17:00:21 	[post_filtering_statistics] 	step time for completion (seconds) = 1309

INFO 	2016-04-06 17:00:23 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 17:35:42 	[index_contacts] 	step time for completion (seconds) = 2119

INFO 	2016-04-06 17:35:44 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 89 files...
TIME 	2016-04-06 19:31:05 	[map_to_bam] 	step time for completion (seconds) = 6921

INFO 	2016-04-06 19:31:07 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 06:12:33 	[downstream_bam] 	step time for completion (seconds) = 38486

INFO 	2016-04-07 06:12:34 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 06:12:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/fastqs_processed
INFO 	2016-04-07 06:12:34 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/d7fd92b4c_95a8cd511/mapped_reads
TIME 	2016-04-07 06:13:11 	[clean_up] 	step time for completion (seconds) = 37


