
INFO 	2016-04-06 04:35:46 	[preliminary_checks] 	ab7537068_95a8cd511 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 18:51:08 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 18:51:08 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 19:15:47 	[post_filtering_statistics] 	step time for completion (seconds) = 1479

INFO 	2016-04-06 19:15:50 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 20:00:57 	[index_contacts] 	step time for completion (seconds) = 2707

INFO 	2016-04-06 20:01:01 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 98 files...
TIME 	2016-04-06 22:05:47 	[map_to_bam] 	step time for completion (seconds) = 7487

INFO 	2016-04-06 22:05:49 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 09:29:22 	[downstream_bam] 	step time for completion (seconds) = 41013

INFO 	2016-04-07 09:29:24 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 09:29:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/fastqs_processed
INFO 	2016-04-07 09:29:24 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_95a8cd511/mapped_reads
TIME 	2016-04-07 09:29:24 	[clean_up] 	step time for completion (seconds) = 0


