
INFO 	2016-04-06 13:38:44 	[preliminary_checks] 	1618f57a8_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 14:55:41 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-06 14:55:41 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 4251

INFO 	2016-04-06 14:55:49 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 14:55:49 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 14:55:49 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 14:55:49 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 14:55:49 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 14:55:49 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 22:44:40 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/logs/hg38_mmtv/1618f57a8_7bf1478ce_align_and_merge_paired_end.log
TIME 	2016-04-06 22:46:52 	[align_and_merge] 	step time for completion (seconds) = 28269

INFO 	2016-04-06 22:47:13 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 23:27:43 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.891142116289
INFO 	2016-04-06 23:27:43 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.867795688352
INFO 	2016-04-06 23:27:43 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 143368487
INFO 	2016-04-06 23:27:43 	[post_mapping_statistics] 	counts-to-distance slope = -1.25926220572
TIME 	2016-04-06 23:27:50 	[post_mapping_statistics] 	step time for completion (seconds) = 2437

INFO 	2016-04-06 23:28:12 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 23:28:12 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 23:28:12 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 23:28:12 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 23:28:12 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 23:49:43 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 23:51:19 	[reads_filtering] 	step time for completion (seconds) = 1408

INFO 	2016-04-06 23:51:21 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 23:51:21 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 23:51:21 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 23:51:21 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-07 00:17:23 	[post_filtering_statistics] 	step time for completion (seconds) = 1562

INFO 	2016-04-07 00:17:34 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-07 01:05:32 	[index_contacts] 	step time for completion (seconds) = 2878

INFO 	2016-04-07 01:05:34 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 80 files...
TIME 	2016-04-07 02:48:22 	[map_to_bam] 	step time for completion (seconds) = 6168

INFO 	2016-04-07 02:48:25 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 14:17:55 	[downstream_bam] 	step time for completion (seconds) = 41370

INFO 	2016-04-07 14:17:57 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 14:17:57 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/fastqs_processed
INFO 	2016-04-07 14:17:57 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/1618f57a8_7bf1478ce/mapped_reads
TIME 	2016-04-07 14:17:58 	[clean_up] 	step time for completion (seconds) = 1


