
INFO 	2016-04-13 14:43:45 	[preliminary_checks] 	eaed0e91e_db4f304ee found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 00:11:25 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.875457643942
INFO 	2016-04-14 00:11:25 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.829731228297
INFO 	2016-04-14 00:11:25 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 127157113
INFO 	2016-04-14 00:11:25 	[post_mapping_statistics] 	counts-to-distance slope = -1.16473079117
TIME 	2016-04-14 00:11:32 	[post_mapping_statistics] 	step time for completion (seconds) = 2186

INFO 	2016-04-14 00:11:54 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 00:11:54 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/results/hg38_mmtv/filtered_reads
INFO 	2016-04-14 00:11:54 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-14 00:11:54 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-14 00:11:54 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 00:30:51 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 00:32:37 	[reads_filtering] 	step time for completion (seconds) = 1263

INFO 	2016-04-14 00:32:48 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-14 00:32:48 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 00:32:48 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 00:32:48 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 00:56:15 	[post_filtering_statistics] 	step time for completion (seconds) = 1407

INFO 	2016-04-14 00:56:32 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 01:38:54 	[index_contacts] 	step time for completion (seconds) = 2542

INFO 	2016-04-14 01:38:56 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 71 files...
TIME 	2016-04-14 03:18:41 	[map_to_bam] 	step time for completion (seconds) = 5985

INFO 	2016-04-14 03:18:52 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 14:45:21 	[downstream_bam] 	step time for completion (seconds) = 41189

INFO 	2016-04-14 14:45:23 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 14:45:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/fastqs_processed
INFO 	2016-04-14 14:45:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/eaed0e91e_db4f304ee/mapped_reads
TIME 	2016-04-14 14:45:24 	[clean_up] 	step time for completion (seconds) = 1


