
INFO 	2016-04-08 10:07:41 	[preliminary_checks] 	b7fa2d8db_58e812fc2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 12:27:32 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:27:32 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:27:32 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:27:33 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:56:33 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/logs/mm10/b7fa2d8db_58e812fc2_align_and_merge_paired_end.log
TIME 	2016-04-09 03:00:26 	[align_and_merge] 	step time for completion (seconds) = 52378

INFO 	2016-04-09 03:00:42 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 04:10:08 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.851059555446
INFO 	2016-04-09 04:10:08 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.844775914872
INFO 	2016-04-09 04:10:08 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 239915047
INFO 	2016-04-09 04:10:08 	[post_mapping_statistics] 	counts-to-distance slope = -1.1728045902
TIME 	2016-04-09 04:10:15 	[post_mapping_statistics] 	step time for completion (seconds) = 4174

INFO 	2016-04-09 04:10:54 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 04:10:54 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/results/mm10/filtered_reads
INFO 	2016-04-09 04:10:54 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 04:10:54 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 04:10:54 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 04:46:33 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 04:50:03 	[reads_filtering] 	step time for completion (seconds) = 2387

INFO 	2016-04-09 04:50:05 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 04:50:05 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 04:50:05 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 04:50:05 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 05:37:41 	[post_filtering_statistics] 	step time for completion (seconds) = 2856

INFO 	2016-04-09 05:37:43 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 07:06:12 	[index_contacts] 	step time for completion (seconds) = 5309

INFO 	2016-04-09 07:06:19 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 137 files...
TIME 	2016-04-09 10:21:05 	[map_to_bam] 	step time for completion (seconds) = 11686

INFO 	2016-04-09 10:21:16 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0110/job_scripts/2168215: line 747: 40797 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 21:23:21 	[downstream_bam] 	step time for completion (seconds) = 39725

INFO 	2016-04-09 21:23:23 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 21:23:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/fastqs_processed
INFO 	2016-04-09 21:23:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_58e812fc2/mapped_reads
TIME 	2016-04-09 21:23:23 	[clean_up] 	step time for completion (seconds) = 0


