
INFO 	2016-04-13 12:02:48 	[preliminary_checks] 	ab7537068_92b2943b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-13 13:00:04 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.652572493444
INFO 	2016-04-13 13:00:04 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 10454028
INFO 	2016-04-13 13:00:04 	[post_mapping_statistics] 	counts-to-distance slope = -1.25968158438
TIME 	2016-04-13 13:00:10 	[post_mapping_statistics] 	step time for completion (seconds) = 276

INFO 	2016-04-13 13:00:14 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-13 13:00:14 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/results/hg38_mmtv/filtered_reads
INFO 	2016-04-13 13:00:14 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-13 13:00:14 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-13 13:00:14 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-13 13:02:08 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-13 13:02:13 	[reads_filtering] 	step time for completion (seconds) = 121

INFO 	2016-04-13 13:02:15 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-13 13:02:15 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-13 13:02:15 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-13 13:02:15 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-13 13:05:42 	[post_filtering_statistics] 	step time for completion (seconds) = 207

INFO 	2016-04-13 13:05:44 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-13 13:09:02 	[index_contacts] 	step time for completion (seconds) = 198

INFO 	2016-04-13 13:09:04 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 6 files...
TIME 	2016-04-13 13:16:33 	[map_to_bam] 	step time for completion (seconds) = 449

INFO 	2016-04-13 13:16:43 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0407/job_scripts/2269584: line 747: 58679 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-13 17:25:03 	[downstream_bam] 	step time for completion (seconds) = 14900

INFO 	2016-04-13 17:25:04 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-13 17:25:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/fastqs_processed
INFO 	2016-04-13 17:25:04 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/ab7537068_92b2943b1/mapped_reads
TIME 	2016-04-13 17:25:08 	[clean_up] 	step time for completion (seconds) = 4


