
INFO 	2016-04-15 00:28:19 	[preliminary_checks] 	b7fa2d8db_bfac48760 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-15 02:30:27 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-15 02:30:27 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 6924

INFO 	2016-04-15 02:30:35 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-15 02:30:35 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-15 02:30:35 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-15 02:30:35 	[align_and_merge] 	read length = 75
INFO 	2016-04-15 02:30:35 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-15 02:30:35 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-15 15:00:43 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/logs/mm10/b7fa2d8db_bfac48760_align_and_merge_paired_end.log
TIME 	2016-04-15 15:04:12 	[align_and_merge] 	step time for completion (seconds) = 45222

INFO 	2016-04-15 15:04:30 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-15 16:01:07 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.843413432076
INFO 	2016-04-15 16:01:07 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.822418374575
INFO 	2016-04-15 16:01:07 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 205363041
INFO 	2016-04-15 16:01:07 	[post_mapping_statistics] 	counts-to-distance slope = -1.17344400266
TIME 	2016-04-15 16:01:19 	[post_mapping_statistics] 	step time for completion (seconds) = 3409

INFO 	2016-04-15 16:01:52 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-15 16:01:52 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/results/mm10/filtered_reads
INFO 	2016-04-15 16:01:52 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-15 16:01:52 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/results/mm10/excluded_reads/self_circle
INFO 	2016-04-15 16:01:52 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-15 16:30:48 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-15 16:33:33 	[reads_filtering] 	step time for completion (seconds) = 1932

INFO 	2016-04-15 16:33:36 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/plots/mm10/post_filtering_statistics:
INFO 	2016-04-15 16:33:36 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-15 16:33:36 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-15 16:33:36 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-15 17:11:18 	[post_filtering_statistics] 	step time for completion (seconds) = 2262

INFO 	2016-04-15 17:11:21 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-15 18:28:47 	[index_contacts] 	step time for completion (seconds) = 4646

INFO 	2016-04-15 18:29:12 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 116 files...
TIME 	2016-04-15 21:15:14 	[map_to_bam] 	step time for completion (seconds) = 9962

INFO 	2016-04-15 21:15:16 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0501/job_scripts/2271766: line 747: 34425 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-16 08:14:11 	[downstream_bam] 	step time for completion (seconds) = 39535

INFO 	2016-04-16 08:14:13 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 08:14:13 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/fastqs_processed
INFO 	2016-04-16 08:14:13 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b7fa2d8db_bfac48760/mapped_reads
TIME 	2016-04-16 08:14:14 	[clean_up] 	step time for completion (seconds) = 1


