
INFO 	2016-04-05 14:37:53 	[preliminary_checks] 	5733f3071_2a3b69a85 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-05 15:26:39 	[trim_reads_trimmomatic] 	reads after trimming = 125820229
INFO 	2016-04-05 15:26:57 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-05 15:26:57 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-05 15:26:57 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-05 15:26:57 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2689

INFO 	2016-04-05 15:27:02 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-05 15:27:02 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-05 15:27:02 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-05 15:27:02 	[align_and_merge] 	read length = 75
INFO 	2016-04-05 15:27:02 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-05 15:27:02 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-05 20:40:10 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/logs/hg38_mmtv/5733f3071_2a3b69a85_align_and_merge_paired_end.log
TIME 	2016-04-05 20:41:46 	[align_and_merge] 	step time for completion (seconds) = 18888

INFO 	2016-04-05 20:41:49 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-05 21:02:20 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.873892949281
INFO 	2016-04-05 21:02:20 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.67390554503
INFO 	2016-04-05 21:02:20 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 70749687
INFO 	2016-04-05 21:02:20 	[post_mapping_statistics] 	counts-to-distance slope = -1.21932425767
TIME 	2016-04-05 21:02:28 	[post_mapping_statistics] 	step time for completion (seconds) = 1239

INFO 	2016-04-05 21:02:40 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-05 21:02:40 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/results/hg38_mmtv/filtered_reads
INFO 	2016-04-05 21:02:40 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-05 21:02:40 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-05 21:02:40 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-05 21:13:09 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-05 21:14:28 	[reads_filtering] 	step time for completion (seconds) = 718

INFO 	2016-04-05 21:14:30 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-05 21:14:30 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-05 21:14:30 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-05 21:14:30 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-05 21:27:56 	[post_filtering_statistics] 	step time for completion (seconds) = 806

INFO 	2016-04-05 21:27:58 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-05 21:53:18 	[index_contacts] 	step time for completion (seconds) = 1520

INFO 	2016-04-05 21:53:21 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 39 files...
TIME 	2016-04-05 22:44:44 	[map_to_bam] 	step time for completion (seconds) = 3083

INFO 	2016-04-05 22:44:55 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-06 08:38:06 	[downstream_bam] 	step time for completion (seconds) = 35591

INFO 	2016-04-06 08:38:07 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-06 08:38:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/fastqs_processed
INFO 	2016-04-06 08:38:07 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/5733f3071_2a3b69a85/mapped_reads
TIME 	2016-04-06 08:38:09 	[clean_up] 	step time for completion (seconds) = 2


