
INFO 	2016-04-06 10:20:11 	[preliminary_checks] 	dc3a1e069_7bf1478ce found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 19:51:18 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_7bf1478ce/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 19:51:18 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 19:51:18 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 19:51:18 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 20:16:45 	[post_filtering_statistics] 	step time for completion (seconds) = 1527

INFO 	2016-04-06 20:16:48 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_7bf1478ce/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 21:11:44 	[index_contacts] 	step time for completion (seconds) = 3296

INFO 	2016-04-06 21:11:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 77 files...
TIME 	2016-04-06 22:51:23 	[map_to_bam] 	step time for completion (seconds) = 5975

INFO 	2016-04-06 22:51:33 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 09:47:48 	[downstream_bam] 	step time for completion (seconds) = 39375

INFO 	2016-04-07 09:47:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 09:47:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_7bf1478ce/fastqs_processed
INFO 	2016-04-07 09:47:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/dc3a1e069_7bf1478ce/mapped_reads
TIME 	2016-04-07 09:47:50 	[clean_up] 	step time for completion (seconds) = 1


