
INFO 	2016-04-06 04:38:51 	[preliminary_checks] 	c95c3766e_f34e98deb found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	species = Homo_sapiens
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	assembly version = hg38_mmtv
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	read length = 75
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa
INFO 	2016-04-06 06:01:09 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-06 13:51:50 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/logs/hg38_mmtv/c95c3766e_f34e98deb_align_and_merge_paired_end.log
TIME 	2016-04-06 13:54:02 	[align_and_merge] 	step time for completion (seconds) = 28377

INFO 	2016-04-06 13:54:23 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-06 14:39:47 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.887648486402
INFO 	2016-04-06 14:39:47 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.851276392388
INFO 	2016-04-06 14:39:47 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 153223162
INFO 	2016-04-06 14:39:47 	[post_mapping_statistics] 	counts-to-distance slope = -1.38220740867
TIME 	2016-04-06 14:39:54 	[post_mapping_statistics] 	step time for completion (seconds) = 2731

INFO 	2016-04-06 14:40:19 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-06 14:40:19 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/results/hg38_mmtv/filtered_reads
INFO 	2016-04-06 14:40:19 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/results/hg38_mmtv/excluded_reads/dangling_ends
INFO 	2016-04-06 14:40:19 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/results/hg38_mmtv/excluded_reads/self_circle
INFO 	2016-04-06 14:40:19 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-06 15:04:42 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-06 15:06:04 	[reads_filtering] 	step time for completion (seconds) = 1568

INFO 	2016-04-06 15:06:07 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-06 15:06:07 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-06 15:06:07 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-06 15:06:07 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-06 15:25:36 	[post_filtering_statistics] 	step time for completion (seconds) = 1169

INFO 	2016-04-06 15:25:38 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-06 15:57:27 	[index_contacts] 	step time for completion (seconds) = 1909

INFO 	2016-04-06 15:57:31 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 85 files...
TIME 	2016-04-06 17:46:59 	[map_to_bam] 	step time for completion (seconds) = 6568

INFO 	2016-04-06 17:47:07 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-07 04:17:58 	[downstream_bam] 	step time for completion (seconds) = 37851

INFO 	2016-04-07 04:17:59 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-07 04:17:59 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/fastqs_processed
INFO 	2016-04-07 04:17:59 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/c95c3766e_f34e98deb/mapped_reads
TIME 	2016-04-07 04:18:00 	[clean_up] 	step time for completion (seconds) = 1


