
INFO 	2016-04-14 09:51:02 	[preliminary_checks] 	b742f3789_07f2a2a5c found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 12:57:55 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/logs/mm10/b742f3789_07f2a2a5c_align_and_merge_paired_end.log
TIME 	2016-04-14 12:58:33 	[align_and_merge] 	step time for completion (seconds) = 9611

INFO 	2016-04-14 12:58:37 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 13:13:14 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.824397203126
INFO 	2016-04-14 13:13:14 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.800342700695
INFO 	2016-04-14 13:13:14 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 45453799
INFO 	2016-04-14 13:13:14 	[post_mapping_statistics] 	counts-to-distance slope = -1.00886366073
TIME 	2016-04-14 13:13:21 	[post_mapping_statistics] 	step time for completion (seconds) = 884

INFO 	2016-04-14 13:13:30 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 13:13:30 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/results/mm10/filtered_reads
INFO 	2016-04-14 13:13:30 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 13:13:30 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 13:13:30 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 13:20:26 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 13:21:09 	[reads_filtering] 	step time for completion (seconds) = 466

INFO 	2016-04-14 13:21:11 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 13:21:11 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 13:21:11 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 13:21:11 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 13:30:25 	[post_filtering_statistics] 	step time for completion (seconds) = 554

INFO 	2016-04-14 13:30:27 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 13:45:10 	[index_contacts] 	step time for completion (seconds) = 883

INFO 	2016-04-14 13:45:12 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 26 files...
TIME 	2016-04-14 14:18:32 	[map_to_bam] 	step time for completion (seconds) = 2000

INFO 	2016-04-14 14:18:43 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0204/job_scripts/2269731: line 747: 20351 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 22:40:57 	[downstream_bam] 	step time for completion (seconds) = 30134

INFO 	2016-04-14 22:40:59 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 22:40:59 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/fastqs_processed
INFO 	2016-04-14 22:40:59 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_07f2a2a5c/mapped_reads
TIME 	2016-04-14 22:41:03 	[clean_up] 	step time for completion (seconds) = 4


