
INFO 	2016-04-08 10:07:33 	[preliminary_checks] 	a7c643d27_ed0f2b6ec found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-08 12:15:12 	[trim_reads_trimmomatic] 	reads after trimming = 335470153
INFO 	2016-04-08 12:15:39 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-04-08 12:15:39 	[trim_reads_trimmomatic] 	trimmed reads are in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 12:15:39 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 12:15:39 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 7270

INFO 	2016-04-08 12:15:45 	[align_and_merge] 	species = Mus_musculus
INFO 	2016-04-08 12:15:45 	[align_and_merge] 	assembly version = mm10
INFO 	2016-04-08 12:15:45 	[align_and_merge] 	restriction enzyme = DpnII
INFO 	2016-04-08 12:15:45 	[align_and_merge] 	read length = 75
INFO 	2016-04-08 12:15:45 	[align_and_merge] 	genome reference FASTA file found at /users/GR/mb/jquilez/assemblies/mus_musculus/mm10/ucsc/mm10.fa
INFO 	2016-04-08 12:15:45 	[align_and_merge] 	mapping, processing reads according to restriction enzyme fragments and merging aligments for read1 and read2...
INFO 	2016-04-09 02:02:57 	[align_and_merge] 	output saved in /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/logs/mm10/a7c643d27_ed0f2b6ec_align_and_merge_paired_end.log
TIME 	2016-04-09 02:09:03 	[align_and_merge] 	step time for completion (seconds) = 50002

INFO 	2016-04-09 02:09:24 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-09 03:11:37 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.85489586312
INFO 	2016-04-09 03:11:37 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.847267020503
INFO 	2016-04-09 03:11:37 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 225379499
INFO 	2016-04-09 03:11:37 	[post_mapping_statistics] 	counts-to-distance slope = -1.06299209972
TIME 	2016-04-09 03:11:56 	[post_mapping_statistics] 	step time for completion (seconds) = 3752

INFO 	2016-04-09 03:12:33 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-09 03:12:33 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/results/mm10/filtered_reads
INFO 	2016-04-09 03:12:33 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-09 03:12:33 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/results/mm10/excluded_reads/self_circle
INFO 	2016-04-09 03:12:33 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-09 03:44:23 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-09 03:50:06 	[reads_filtering] 	step time for completion (seconds) = 2288

INFO 	2016-04-09 03:50:08 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 03:50:08 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 03:50:08 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 03:50:08 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 04:32:24 	[post_filtering_statistics] 	step time for completion (seconds) = 2536

INFO 	2016-04-09 04:32:27 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 05:50:15 	[index_contacts] 	step time for completion (seconds) = 4668

INFO 	2016-04-09 05:50:40 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 128 files...
TIME 	2016-04-09 08:40:18 	[map_to_bam] 	step time for completion (seconds) = 10178

INFO 	2016-04-09 08:40:30 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0101/job_scripts/2168216: line 747: 64439 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 19:19:10 	[downstream_bam] 	step time for completion (seconds) = 38320

INFO 	2016-04-09 19:19:12 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 19:19:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/fastqs_processed
INFO 	2016-04-09 19:19:12 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/a7c643d27_ed0f2b6ec/mapped_reads
TIME 	2016-04-09 19:19:12 	[clean_up] 	step time for completion (seconds) = 0


