
INFO 	2016-04-14 08:54:46 	[preliminary_checks] 	b742f3789_aae8c60b1 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 12:05:35 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 12:05:35 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 12:12:19 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 12:12:56 	[reads_filtering] 	step time for completion (seconds) = 447

INFO 	2016-04-14 12:12:57 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 12:12:57 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 12:12:57 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 12:12:57 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 12:22:28 	[post_filtering_statistics] 	step time for completion (seconds) = 571

INFO 	2016-04-14 12:22:30 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 12:36:47 	[index_contacts] 	step time for completion (seconds) = 857

INFO 	2016-04-14 12:36:49 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 25 files...
TIME 	2016-04-14 13:08:59 	[map_to_bam] 	step time for completion (seconds) = 1930

INFO 	2016-04-14 13:09:11 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0202/job_scripts/2269730: line 747: 11401 Aborted                 (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-14 21:36:14 	[downstream_bam] 	step time for completion (seconds) = 30423

INFO 	2016-04-14 21:36:15 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 21:36:15 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/fastqs_processed
INFO 	2016-04-14 21:36:15 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_aae8c60b1/mapped_reads
TIME 	2016-04-14 21:36:20 	[clean_up] 	step time for completion (seconds) = 5


