
INFO 	2016-04-14 04:12:05 	[preliminary_checks] 	8d2ac542f_d222de8ea found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-14 05:24:05 	[post_mapping_statistics] 	generating post mapping descriptive statistics plots...
INFO 	2016-04-14 05:30:59 	[post_mapping_statistics] 	fraction of reads mapped read1 = 0.819321879424
INFO 	2016-04-14 05:30:59 	[post_mapping_statistics] 	fraction of reads mapped read2 = 0.793771141577
INFO 	2016-04-14 05:30:59 	[post_mapping_statistics] 	number of pairs in which both read1 and read2 are mapped = 16920765
INFO 	2016-04-14 05:30:59 	[post_mapping_statistics] 	counts-to-distance slope = -1.0825240926
TIME 	2016-04-14 05:31:05 	[post_mapping_statistics] 	step time for completion (seconds) = 420

INFO 	2016-04-14 05:31:09 	[reads_filtering] 	filtering reads based on multiple quality parameters...
INFO 	2016-04-14 05:31:09 	[reads_filtering] 	filtered reads to be used for subsequent analyses are at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/results/mm10/filtered_reads
INFO 	2016-04-14 05:31:09 	[reads_filtering] 	excluded reads due to dangling ends are at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/results/mm10/excluded_reads/dangling_ends
INFO 	2016-04-14 05:31:09 	[reads_filtering] 	excluded reads due to self circle are at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/results/mm10/excluded_reads/self_circle
INFO 	2016-04-14 05:31:09 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/results/mm10/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-14 05:34:36 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-14 05:34:50 	[reads_filtering] 	step time for completion (seconds) = 223

INFO 	2016-04-14 05:34:51 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/plots/mm10/post_filtering_statistics:
INFO 	2016-04-14 05:34:51 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-14 05:34:51 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-14 05:34:51 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-14 05:39:01 	[post_filtering_statistics] 	step time for completion (seconds) = 250

INFO 	2016-04-14 05:39:03 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-14 05:44:01 	[index_contacts] 	step time for completion (seconds) = 298

INFO 	2016-04-14 05:44:03 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 10 files...
TIME 	2016-04-14 05:56:52 	[map_to_bam] 	step time for completion (seconds) = 769

INFO 	2016-04-14 05:56:55 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-14 07:14:48 	[downstream_bam] 	step time for completion (seconds) = 4673

INFO 	2016-04-14 07:14:49 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-14 07:14:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/fastqs_processed
INFO 	2016-04-14 07:14:49 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/8d2ac542f_d222de8ea/mapped_reads
TIME 	2016-04-14 07:14:54 	[clean_up] 	step time for completion (seconds) = 5


