
INFO 	2016-04-15 13:32:30 	[preliminary_checks] 	e4aa8d54f_467f847a2 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-16 05:16:49 	[reads_filtering] 	summary of excluded reads at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/results/hg38_mmtv/excluded_reads/summary_excluded_per_filter
INFO 	2016-04-16 05:45:55 	[reads_filtering] 	numbers and fractions of filtered and excluded reads added to the metadata
TIME 	2016-04-16 05:49:22 	[reads_filtering] 	step time for completion (seconds) = 1983

INFO 	2016-04-16 05:49:24 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/plots/hg38_mmtv/post_filtering_statistics:
INFO 	2016-04-16 05:49:24 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-16 05:49:24 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-16 05:49:24 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-16 06:26:04 	[post_filtering_statistics] 	step time for completion (seconds) = 2200

INFO 	2016-04-16 06:26:10 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/results/hg38_mmtv/filtered_reads/*filtered_map.tsv
TIME 	2016-04-16 07:34:28 	[index_contacts] 	step time for completion (seconds) = 4098

INFO 	2016-04-16 07:34:56 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 111 files...
TIME 	2016-04-16 09:59:22 	[map_to_bam] 	step time for completion (seconds) = 8666

INFO 	2016-04-16 09:59:33 	[downstream_bam] 	perform several downstream analyses
TIME 	2016-04-16 22:52:22 	[downstream_bam] 	step time for completion (seconds) = 46369

INFO 	2016-04-16 22:52:23 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-16 22:52:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/fastqs_processed
INFO 	2016-04-16 22:52:23 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/e4aa8d54f_467f847a2/mapped_reads
TIME 	2016-04-16 22:52:24 	[clean_up] 	step time for completion (seconds) = 1


