
INFO 	2016-04-08 09:56:47 	[preliminary_checks] 	b742f3789_8dba31991 found in /users/project/4DGenome/data/4DGenome_metadata.db
INFO 	2016-04-09 03:58:43 	[post_filtering_statistics] 	generating post filtering descriptive statistics plots... saved at /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/plots/mm10/post_filtering_statistics:
INFO 	2016-04-09 03:58:43 	[post_filtering_statistics] 	- filtered reads: sequencing coverage along chromosomes, coverage values and interaction matrix
INFO 	2016-04-09 03:58:43 	[post_filtering_statistics] 	- dangling ends: sequencing coverage along chromosomes and coverage values
INFO 	2016-04-09 03:58:43 	[post_filtering_statistics] 	- self-circle ends: sequencing coverage along chromosomes and coverage values
TIME 	2016-04-09 04:38:35 	[post_filtering_statistics] 	step time for completion (seconds) = 2392

INFO 	2016-04-09 04:38:48 	[index_contacts] 	indexing /users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/results/mm10/filtered_reads/*filtered_map.tsv
TIME 	2016-04-09 05:50:31 	[index_contacts] 	step time for completion (seconds) = 4303

INFO 	2016-04-09 05:50:48 	[map_to_bam] 	converting MAP to BAM
[bam_sort_core] merging from 129 files...
TIME 	2016-04-09 08:39:25 	[map_to_bam] 	step time for completion (seconds) = 10117

INFO 	2016-04-09 08:39:28 	[downstream_bam] 	perform several downstream analyses
/usr/share/univage/soldierantcluster/spool/node-hp0113/job_scripts/2168202: line 747:  7681 Segmentation fault      (core dumped) $python $SCRIPTS/tadbit_after_bam.py $ibam $flag_excluded $flag_included $flag_perzero $DOWNSTREAM/${sample_id}_ $slots $resolution_ab $resolution_tad &>$step_log
TIME 	2016-04-09 19:09:10 	[downstream_bam] 	step time for completion (seconds) = 37782

INFO 	2016-04-09 19:09:11 	[clean_up] 	deleting the following intermediate files/directories:
INFO 	2016-04-09 19:09:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/fastqs_processed
INFO 	2016-04-09 19:09:11 	[clean_up] 	/users/project/4DGenome_no_backup/data/hic/samples/b742f3789_8dba31991/mapped_reads
TIME 	2016-04-09 19:09:12 	[clean_up] 	step time for completion (seconds) = 1


